EpaRegion	UsState	County	Year	Risk	Governance	BuiltEnvironment	NaturalEnvironment	Society	Crsi
1	Connecticut	Fairfield	2017	0.508	0.866	0.675	0.346	0.494	2.923
1	Connecticut	Hartford	2017	0.650	0.869	0.646	0.311	0.525	2.135
1	Connecticut	Litchfield	2017	0.224	0.890	0.489	0.431	0.657	6.881
1	Connecticut	Middlesex	2017	0.420	0.874	0.396	0.439	0.598	2.816
1	Connecticut	New Haven	2017	0.491	0.863	0.659	0.403	0.499	3.243
1	Connecticut	New London	2017	0.273	0.849	0.587	0.433	0.490	5.285
1	Connecticut	Tolland	2017	0.306	0.892	0.341	0.403	0.551	2.855
1	Connecticut	Windham	2017	0.289	0.887	0.370	0.420	0.561	3.483
1	Maine	Androscoggin	2017	0.174	0.887	0.424	0.365	0.565	5.895
1	Maine	Aroostook	2017	0.101	0.943	0.744	0.413	0.546	19.853
1	Maine	Cumberland	2017	0.298	0.892	0.671	0.525	0.615	7.302
1	Maine	Franklin	2017	0.094	0.934	0.490	0.421	0.502	13.434
1	Maine	Hancock	2017	0.038	0.925	0.543	0.603	0.559	50.855
1	Maine	Kennebec	2017	0.145	0.897	0.533	0.395	0.581	9.871
1	Maine	Knox	2017	0.076	0.914	0.344	0.617	0.621	20.753
1	Maine	Lincoln	2017	0.080	0.914	0.309	0.548	0.613	16.162
1	Maine	Oxford	2017	0.116	0.936	0.505	0.388	0.505	10.568
1	Maine	Penobscot	2017	0.104	0.923	0.786	0.390	0.565	19.975
1	Maine	Piscataquis	2017	0.075	0.954	0.342	0.491	0.524	14.789
1	Maine	Sagadahoc	2017	0.126	0.930	0.304	0.534	0.615	9.977
1	Maine	Somerset	2017	0.081	0.917	0.542	0.463	0.523	18.903
1	Maine	Waldo	2017	0.032	0.941	0.410	0.486	0.538	39.711
1	Maine	Washington	2017	0.092	0.969	0.483	0.588	0.628	21.016
1	Maine	York	2017	0.201	0.885	0.553	0.516	0.547	8.475
1	Massachusetts	Barnstable	2017	0.197	0.850	0.585	0.591	0.580	10.134
1	Massachusetts	Berkshire	2017	0.202	0.885	0.552	0.402	0.671	8.230
1	Massachusetts	Bristol	2017	0.523	0.864	0.572	0.451	0.552	3.023
1	Massachusetts	Dukes	2017	0.045	0.886	0.289	0.595	0.811	38.030
1	Massachusetts	Essex	2017	0.537	0.884	0.671	0.487	0.565	3.685
1	Massachusetts	Franklin	2017	0.147	0.901	0.542	0.419	0.707	11.983
1	Massachusetts	Hampden	2017	0.576	0.862	0.649	0.340	0.517	2.506
1	Massachusetts	Hampshire	2017	0.197	0.826	0.429	0.389	0.563	5.236
1	Massachusetts	Middlesex	2017	0.591	0.872	0.819	0.259	0.585	3.115
1	Massachusetts	Nantucket	2017	0.060	0.444	0.220	0.609	0.572	10.893
1	Massachusetts	Norfolk	2017	0.497	0.864	0.633	0.387	0.618	3.457
1	Massachusetts	Plymouth	2017	0.469	0.878	0.614	0.542	0.598	4.303
1	Massachusetts	Suffolk	2017	0.465	0.875	0.417	0.426	0.465	2.037
1	Massachusetts	Worcester	2017	0.550	0.886	0.804	0.359	0.604	3.813
1	New Hampshire	Belknap	2017	0.151	0.883	0.350	0.385	0.621	6.505
1	New Hampshire	Carroll	2017	0.169	0.870	0.441	0.445	0.599	7.792
1	New Hampshire	Cheshire	2017	0.108	0.856	0.457	0.400	0.574	10.981
1	New Hampshire	Coos	2017	0.112	0.922	0.536	0.549	0.640	17.434
1	New Hampshire	Grafton	2017	0.129	0.905	0.785	0.468	0.571	17.559
1	New Hampshire	Hillsborough	2017	0.461	0.900	0.631	0.334	0.574	3.327
1	New Hampshire	Merrimack	2017	0.149	0.908	0.667	0.410	0.728	14.260
1	New Hampshire	Rockingham	2017	0.555	0.888	0.578	0.420	0.554	2.788
1	New Hampshire	Strafford	2017	0.338	0.877	0.380	0.419	0.505	2.697
1	New Hampshire	Sullivan	2017	0.120	0.920	0.363	0.379	0.594	8.200
1	Rhode Island	Bristol	2017	0.385	0.869	0.110	0.531	0.584	1.601
1	Rhode Island	Kent	2017	0.510	0.862	0.240	0.443	0.605	1.529
1	Rhode Island	Newport	2017	0.207	0.854	0.232	0.643	0.551	5.483
1	Rhode Island	Providence	2017	0.510	0.863	0.535	0.326	0.551	2.298
1	Rhode Island	Washington	2017	0.248	0.874	0.391	0.614	0.637	6.756
1	Vermont	Addison	2017	0.089	0.989	0.473	0.490	0.712	20.832
1	Vermont	Bennington	2017	0.154	0.933	0.435	0.469	0.613	9.414
1	Vermont	Caledonia	2017	0.115	0.942	0.401	0.396	0.815	13.744
1	Vermont	Chittenden	2017	0.261	0.912	0.661	0.387	0.604	6.946
1	Vermont	Franklin	2017	0.242	0.923	0.427	0.386	0.651	5.319
1	Vermont	Grand Isle	2017	0.063	0.985	0.334	0.365	0.714	18.709
1	Vermont	Lamoille	2017	0.080	0.922	0.389	0.438	0.665	16.702
1	Vermont	Orange	2017	0.140	0.961	0.400	0.351	0.689	8.895
