GEO_ID	UsState	County
0500000US11001	District of Columbia	District of Columbia
0500000US24510	Maryland	Baltimore city
0500000US29510	Missouri	St. Louis city
0500000US32510	Nevada	Carson
0500000US51510	Virginia	Alexandria
0500000US51520	Virginia	Bristol
0500000US51530	Virginia	Buena Vista
0500000US51540	Virginia	Charlottesville
0500000US51550	Virginia	Chesapeake
0500000US51570	Virginia	Colonial Heights
0500000US51580	Virginia	Covington
0500000US51590	Virginia	Danville
0500000US51595	Virginia	Emporia
0500000US51600	Virginia	Fairfax city
0500000US51610	Virginia	Falls Church
0500000US51620	Virginia	Franklin city
0500000US51630	Virginia	Fredericksburg
0500000US51640	Virginia	Galax
0500000US51650	Virginia	Hampton
0500000US51660	Virginia	Harrisonburg
0500000US51670	Virginia	Hopewell
0500000US51678	Virginia	Lexington
0500000US51680	Virginia	Lynchburg
0500000US51683	Virginia	Manassas
0500000US51685	Virginia	Manassas Park
0500000US51690	Virginia	Martinsville
0500000US51700	Virginia	Newport News
0500000US51710	Virginia	Norfolk
0500000US51720	Virginia	Norton
0500000US51730	Virginia	Petersburg
0500000US51735	Virginia	Poquoson
0500000US51740	Virginia	Portsmouth
0500000US51750	Virginia	Radford
0500000US51760	Virginia	Richmond city
0500000US51770	Virginia	Roanoke city
0500000US51775	Virginia	Salem
0500000US51790	Virginia	Staunton
0500000US51800	Virginia	Suffolk
0500000US51810	Virginia	Virginia Beach
0500000US51820	Virginia	Waynesboro
0500000US51830	Virginia	Williamsburg
0500000US51840	Virginia	Winchester
0500000US72001	Puerto Rico	Adjuntas Municipio
0500000US72003	Puerto Rico	Aguada Municipio
0500000US72005	Puerto Rico	Aguadilla Municipio
0500000US72007	Puerto Rico	Aguas Buenas Municipio
0500000US72009	Puerto Rico	Aibonito Municipio
0500000US72011	Puerto Rico	Añasco Municipio
0500000US72013	Puerto Rico	Arecibo Municipio
0500000US72015	Puerto Rico	Arroyo Municipio
0500000US72017	Puerto Rico	Barceloneta Municipio
0500000US72019	Puerto Rico	Barranquitas Municipio
0500000US72021	Puerto Rico	Bayamón Municipio
0500000US72023	Puerto Rico	Cabo Rojo Municipio
0500000US72025	Puerto Rico	Caguas Municipio
0500000US72027	Puerto Rico	Camuy Municipio
0500000US72029	Puerto Rico	Canóvanas Municipio
0500000US72031	Puerto Rico	Carolina Municipio
0500000US72033	Puerto Rico	Cataño Municipio
0500000US72035	Puerto Rico	Cayey Municipio
0500000US72037	Puerto Rico	Ceiba Municipio
0500000US72039	Puerto Rico	Ciales Municipio
0500000US72041	Puerto Rico	Cidra Municipio
0500000US72043	Puerto Rico	Coamo Municipio
0500000US72045	Puerto Rico	Comerío Municipio
0500000US72047	Puerto Rico	Corozal Municipio
0500000US72049	Puerto Rico	Culebra Municipio
0500000US72051	Puerto Rico	Dorado Municipio
0500000US72053	Puerto Rico	Fajardo Municipio
0500000US72054	Puerto Rico	Florida Municipio
0500000US72055	Puerto Rico	Guánica Municipio
0500000US72057	Puerto Rico	Guayama Municipio
0500000US72059	Puerto Rico	Guayanilla Municipio
0500000US72061	Puerto Rico	Guaynabo Municipio
0500000US72063	Puerto Rico	Gurabo Municipio
0500000US72065	Puerto Rico	Hatillo Municipio
0500000US72067	Puerto Rico	Hormigueros Municipio
0500000US72069	Puerto Rico	Humacao Municipio
0500000US72071	Puerto Rico	Isabela Municipio
0500000US72073	Puerto Rico	Jayuya Municipio
0500000US72075	Puerto Rico	Juana Díaz Municipio
0500000US72077	Puerto Rico	Juncos Municipio
0500000US72079	Puerto Rico	Lajas Municipio
0500000US72081	Puerto Rico	Lares Municipio
0500000US72083	Puerto Rico	Las Marías Municipio
0500000US72085	Puerto Rico	Las Piedras Municipio
0500000US72087	Puerto Rico	Loíza Municipio
0500000US72089	Puerto Rico	Luquillo Municipio
0500000US72091	Puerto Rico	Manatí Municipio
0500000US72093	Puerto Rico	Maricao Municipio
0500000US72095	Puerto Rico	Maunabo Municipio
0500000US72097	Puerto Rico	Mayagüez Municipio
0500000US72099	Puerto Rico	Moca Municipio
0500000US72101	Puerto Rico	Morovis Municipio
0500000US72103	Puerto Rico	Naguabo Municipio
0500000US72105	Puerto Rico	Naranjito Municipio
0500000US72107	Puerto Rico	Orocovis Municipio
0500000US72109	Puerto Rico	Patillas Municipio
0500000US72111	Puerto Rico	Peñuelas Municipio
0500000US72113	Puerto Rico	Ponce Municipio
